lat,lng,area,year_bulit,price
37.4794112,126.8970569,31.86,1990,8600
37.4958942,126.8729054,76.9,2005,31800
37.4958942,126.8729054,59.12,2005,27000
37.4958942,126.8729054,59.12,2005,27000
37.4958942,126.8729054,59.12,2005,25000
37.5045271,126.8768947,31.2,2004,15500
37.5045271,126.8768947,73.66,2004,23400
37.5045271,126.8768947,28.36,2004,13500
37.5017517,126.888594,101.46,2008,30000
37.4960408,126.8910023,18.54,2014,12000
37.4960408,126.8910023,18.54,2014,10400
37.4970911,126.8916902,26.72,2016,16000
37.5021544,126.8917055,19.51,2012,12600
37.5021544,126.8917055,21.52,2012,13000
37.4980241,126.8916426,32.73,2003,12300
37.5033411,126.8811017,29.87,2003,15300
37.5011349,126.8913986,44.86,2006,17800
37.5057123,126.8916777,33.69,2004,21000
37.5000286,126.8806113,60.46,2004,21800
37.5000286,126.8806113,81.21,2004,24800
37.4860682,126.8987109,40.16,2005,22000
37.4860682,126.8987109,40.68,2005,22500
37.4860682,126.8987109,56.44,2005,26500
37.4857127,126.8989738,56.44,2005,26000
37.4821571,126.8989045,42.26,2006,18700
37.4952338,126.890214,20.3,2016,13902
37.4952338,126.890214,20.3,2016,13902
37.4952338,126.890214,20.3,2016,13902
37.5005688,126.891976,25.67,2011,13200
37.4961428,126.88968,29.4,2006,12600
37.4812086,126.8969113,17.63,2016,13900
37.5062215,126.877139,38.68,2002,15000
37.5062215,126.877139,35.49,2002,13500
37.5070459,126.8865248,86.17,2006,40000
37.509449,126.8877687,70.71,2007,42000
37.509449,126.8877687,50.68,2007,35700
37.509449,126.8877687,86.79,2007,47900
37.509449,126.8877687,50.68,2007,35700
37.509449,126.8877687,117.01,2007,58000
37.5143184,126.8813828,92.06,2010,41300
37.4925084,126.841018,30.03,2001,9100
37.4929853,126.8408197,77.78,2004,23650
37.4945894,126.8419157,18.0,2004,9200
37.4945894,126.8419157,18.0,2004,8900
37.4973141,126.8473486,93.78,2007,29900
37.4973141,126.8473486,102.24,2007,30500
37.4973141,126.8473486,102.24,2007,34500
37.4973141,126.8473486,69.93,2007,26000
37.4949102,126.841998,29.43,2005,11700
37.4949102,126.841998,34.07,2005,13400
37.4788976,126.8911546,17.35,2013,11300
37.4780955,126.8897995,17.76,2014,11000
37.4501753,126.9003393,53.62,2003,12630
37.4576346,126.8989459,40.67,2015,23800
37.6186878,127.0769293,29.07,2004,11500
37.6560944,127.0610576,33.99,1993,15321
37.6560944,127.0610576,26.15,1993,13500
37.6534932,127.0584497,24.68,2004,13300
37.6534932,127.0584497,27.72,2004,13000
37.6802681,127.0549183,23.37,2004,10300
37.6802681,127.0549183,27.78,2004,12000
37.6802681,127.0549183,23.37,2004,11200
37.6801954,127.0558396,36.77,2005,15000
37.6801954,127.0558396,31.07,2005,14700
37.6249469,127.0603578,30.0,2003,12000
37.6249469,127.0603578,30.0,2003,11770
37.6399466,127.064282,59.64,2005,24300
37.6399466,127.064282,72.55,2005,26500
37.6399466,127.064282,51.3,2005,23700
37.6407575,127.0682384,50.35,2004,18800
37.6407575,127.0682384,50.35,2004,18600
37.6495889,127.076394,23.75,2000,11000
37.6495889,127.076394,27.85,2000,13000
37.6689885,127.044712,27.76,2004,13000
37.6689885,127.044712,32.1,2004,15000
37.6689885,127.044712,26.4,2004,13000
37.6450431,127.0340846,60.97,2005,25500
37.6479166,127.0347951,33.59,2004,14500
37.652519,127.0471522,28.5,2003,12000
37.651437,127.0459427,31.49,2003,14000
37.651437,127.0459427,33.27,2003,13500
37.6593548,127.0456157,41.18,2003,10500
37.5648257,127.056086,30.27,2004,13300
37.5695108,127.0499243,25.33,2005,11500
37.5695108,127.0499243,17.52,2005,8600
37.5701915,127.0495346,26.46,2012,14000
37.5690224,127.0506127,23.85,2015,15000
37.5690224,127.0506127,20.62,2015,13300
37.5746473,127.0262857,28.31,2004,15200
37.5746473,127.0262857,28.31,2004,15000
37.5778237,127.0376992,36.02,2005,15000
37.5778237,127.0376992,46.96,2005,15900
37.5778237,127.0376992,36.02,2005,13900
37.5778237,127.0376992,36.02,2005,14800
37.5778272,127.0339694,30.47,2004,13250
37.5778272,127.0339694,28.9,2004,13700
37.5769994,127.0289896,30.29,2004,14000
37.5769994,127.0289896,30.29,2004,13800
37.5778371,127.036892,39.02,2006,16900
37.5778371,127.036892,39.02,2006,15800
37.5778371,127.036892,51.88,2006,22000
37.6004472,127.0622738,21.6,2006,9100
37.5729809,127.0702307,33.8,2004,10300
37.5709546,127.0735345,18.9,2005,6000
37.5709546,127.0735345,25.46,2005,8150
37.569296,127.0705575,51.05,2013,26642
37.5622753,127.0636684,24.53,2012,13730
37.5622753,127.0636684,24.53,2012,13000
37.5690102,127.0684272,34.95,2009,12500
37.5636996,127.0654601,18.92,2012,10500
37.5716704,127.069851,37.17,2002,12900
37.5684385,127.0688266,28.49,2004,12030
37.5684385,127.0688266,28.49,2004,11600
37.5684385,127.0688266,28.49,2004,11300
37.5684385,127.0688266,32.24,2004,11450
37.5684385,127.0688266,28.49,2004,11800
37.5684385,127.0688266,28.49,2004,10000
37.5694375,127.0686267,67.68,2016,28500
37.5703849,127.0693326,70.67,2015,26700
37.5896647,127.0557756,32.41,1999,9500
37.5127244,126.9417073,19.28,2015,20300
